Account Name,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Total

Operating Income & Expense,,,,,,,,,,,,,
    Income,,,,,,,,,,,,,
        Resident / Tenant Rents & Asmts,"36,061.29","36,443.00","36,074.68","36,795.00","36,795.00","36,780.00","36,086.79","36,371.13","35,730.00","36,173.39","35,452.16","35,318.21","434,080.65"
        Short Term Rentals,0.00,"2,970.62",0.00,"2,781.46",0.00,"3,116.88",770.52,"1,280.10","1,459.46",0.00,"1,842.04",0.00,"14,221.08"
        Concessions,0.00,-25.00,0.00,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.00
        Concessions - Rent,-51.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-55.00,0.00,0.00,0.00,-106.77
        Move In Specials / Incentives,0.00,0.00,-500.00,0.00,0.00,0.00,0.00,-500.00,0.00,-500.00,0.00,-500.00,"-2,000.00"
        Move Out Charges - Resident,300.00,-368.00,0.00,0.00,0.00,0.00,0.00,529.00,879.00,829.00,"1,579.00",941.00,"4,689.00"
        DNU-Move Out Carpet Cleaning,125.00,-375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-250.00
        DNU-Move Out Damages,0.00,-500.00,0.00,0.00,0.00,0.00,279.00,0.00,0.00,0.00,0.00,0.00,-221.00
        Resident Charge Non Move Out,0.00,0.00,138.65,0.00,0.00,155.77,0.00,0.00,0.00,0.00,0.00,0.00,294.42
        Late Fees,0.00,0.00,0.00,0.00,0.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00
        Insurance Admin Fee,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,-4.50,0.00,0.00
        Insurance Svcs Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,29.50,30.50,80.00
        Credit Reporting Services Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.75,65.70,116.45
        Garbage,546.45,560.00,579.19,595.00,595.00,525.00,646.25,580.32,560.00,561.13,546.84,555.32,"6,850.50"
        Water Service,"1,840.97","1,610.00","1,651.13","1,685.00","1,685.00","1,635.00","1,708.21","1,653.55","1,610.00","1,630.17","1,577.50","1,527.74","19,814.27"
        Application Fees,0.00,30.00,-30.00,0.00,0.00,0.00,0.00,-35.00,0.00,70.00,-70.00,70.00,35.00
        Pet Fees,150.00,150.00,150.00,150.00,150.00,150.00,150.00,164.52,175.00,212.10,230.00,197.58,"2,029.20"
        Lock / Key Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,-25.00,0.00,0.00,0.00,0.00
    Total Operating Income,"38,971.94","40,495.62","38,063.65","41,981.46","39,225.00","42,262.65","39,640.77","40,068.62","40,333.46","39,000.29","41,233.29","38,206.05","479,482.80"
    Expense,,,,,,,,,,,,,
        GENERAL & ADMINISTRATIVE EXPENSE,,,,,,,,,,,,,
            Management Fees,"1,522.09","1,477.40","1,564.75","1,544.20","1,545.20","1,571.53","1,521.80","1,527.57","1,500.60","1,520.63","1,490.39","1,481.74","18,267.90"
            Asset Management Fee,371.26,389.72,404.96,0.00,800.45,392.25,422.63,396.41,400.69,403.33,390.00,412.33,"4,784.03"
            Salaries and Wages - Onsite Mgt,29.61,69.56,10.33,6.72,2.48,3.07,20.51,20.95,60.64,26.02,26.78,81.60,358.27
            DNU-Payroll Taxes - Onsite Mgt,0.00,2.41,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.38
            DNU-Workers Comp - Onsite Mgt,0.28,0.59,0.19,0.12,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23
"            Clerical , Postage & Other Office Supplies",0.00,0.00,0.00,0.00,0.00,0.00,328.64,0.00,0.00,4.14,2.07,6.21,341.06
            DNU-Postage,0.69,1.33,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.71
            Bank Charges / Merchant Fees,2.00,15.00,12.00,0.00,0.00,31.00,9.00,17.55,0.00,23.85,14.00,14.00,138.40
            DNU-Inspection Fees,0.00,0.00,0.00,0.00,0.00,0.00,266.00,0.00,0.00,0.00,0.00,0.00,266.00
            General Insurance - Fire & Liability,905.00,905.00,905.00,905.00,"-1,041.40",905.00,905.00,905.00,905.00,905.00,905.00,905.00,"8,913.60"
            Landlord Liability Insurance Expense,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,29.50,29.50,68.50
            Real Property Taxes,"4,000.00","4,000.00","4,000.00","4,000.00","17,288.18","4,000.00","4,000.00","4,000.00","4,000.00","4,000.00","4,000.00","4,000.00","61,288.18"
            Legal Services,"1,185.65",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,185.65"
            Marketing / Advertising  Expenses,520.00,520.00,520.00,520.00,520.00,"1,129.00",520.00,520.00,520.00,520.00,520.00,520.00,"6,849.00"
            Resident Relations,0.00,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.95
        Total GENERAL & ADMINISTRATIVE EXPENSE,"8,536.58","7,487.96","7,417.21","6,976.03","19,115.65","8,031.85","7,993.58","7,387.48","7,386.93","7,412.47","7,377.74","7,450.38","102,573.86"
        Credit Reporting Expense,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.75,50.75
        FACILITY EXPENSE,,,,,,,,,,,,,
            Utilities,67.14,166.20,0.00,0.00,27.78,-20.36,406.10,767.31,273.72,862.95,367.88,496.22,"3,414.94"
            DNU-Electricity,341.01,"1,099.13",296.30,306.28,513.75,362.22,0.00,0.00,0.00,0.00,0.00,0.00,"2,918.69"
            Water & Sewer,"1,343.08",42.92,"1,869.91",645.27,931.84,105.76,"1,035.87",965.66,"1,710.77","1,004.18",180.20,"1,796.51","11,631.97"
            Refuse Disposal,434.18,434.18,535.17,434.18,434.18,434.18,434.18,434.18,434.18,501.50,568.82,455.88,"5,534.81"
            Sewer,703.99,595.10,156.48,228.92,180.20,180.20,0.00,0.00,0.00,0.00,0.00,0.00,"2,044.89"
            Pest Control,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,0.00,130.00,130.00,"1,430.00"
"            Computers, Server, Phones and IT",469.58,469.58,815.16,459.58,469.58,482.15,482.15,482.15,562.55,149.00,742.10,398.55,"5,982.13"
            Fire & Alarm Systems,"1,740.00",0.00,-320.00,0.00,0.00,145.00,340.00,0.00,"1,581.00",875.00,0.00,145.00,"4,506.00"
            Maintenance & Repair ,"1,876.49","3,055.18","1,868.94",543.02,"3,888.23",589.34,"1,119.04","2,716.59","2,604.95","2,166.35","1,883.37","1,018.89","23,330.39"
            Maintenance Materials & Supplies,0.00,167.29,632.48,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,929.77
            R & M - Appliances,0.00,85.00,85.00,317.64,305.20,"1,267.76",114.75,660.51,540.00,874.85,85.00,885.20,"5,220.91"
            R & M - Plumbing,200.00,0.00,225.00,0.00,200.00,359.32,0.00,252.06,345.18,160.00,978.23,359.67,"3,079.46"
            R & M - Interior Paint,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,450.00",0.00,986.00,0.00,"2,936.00"
            R & M - Move Out Costs,450.00,0.00,832.00,0.00,0.00,0.00,350.00,814.00,"1,159.00","2,181.54","3,547.58","4,744.22","14,078.34"
            HVAC Maintenance,0.00,0.00,152.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.68
            DNU-Carpet Cleaning,125.00,125.00,0.00,0.00,0.00,0.00,129.00,0.00,0.00,0.00,0.00,0.00,379.00
        Total FACILITY EXPENSE,"8,380.47","6,369.58","7,279.12","3,194.89","7,080.76","4,035.57","4,541.09","7,222.46","10,791.35","8,775.37","9,469.18","10,430.14","87,569.98"
        GROUNDS LANDSCAPING EXPENSE,,,,,,,,,,,,,
            Landscape Services,0.00,"1,000.00",500.00,500.00,500.00,680.00,600.00,600.00,600.00,600.00,"1,050.00",600.00,"7,230.00"
            DNU-Landscape - Extras,0.00,0.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00
            DNU-Landscape - Other,0.00,0.00,0.00,0.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,365.00
        Total GROUNDS LANDSCAPING EXPENSE,0.00,"1,000.00",500.00,800.00,865.00,680.00,600.00,600.00,600.00,600.00,"1,050.00",600.00,"7,895.00"
        MAJOR REPAIR & REPLACEMENTS,,,,,,,,,,,,,
            DNU-MRR-Appliances (Dishwasher),0.00,0.00,0.00,0.00,688.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,688.98
            DNU-MRR-Appliances (Washer),"1,020.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,020.00"
            DNU-MRR-Appliances (Hood Microwave),0.00,418.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,418.50
            DNU-MRR - Painting (Building),0.00,0.00,0.00,0.00,0.00,"5,200.00",0.00,0.00,0.00,0.00,0.00,0.00,"5,200.00"
        Total MAJOR REPAIR & REPLACEMENTS,"1,020.00",418.50,0.00,0.00,688.98,"5,200.00",0.00,0.00,0.00,0.00,0.00,0.00,"7,327.48"
    Total Operating Expense,"17,937.05","15,276.04","15,196.33","10,970.92","27,750.39","17,947.42","13,134.67","15,209.94","18,778.28","16,787.84","17,896.92","18,531.27","205,417.07"
,,,,,,,,,,,,,
    NOI - Net Operating Income,"21,034.89","25,219.58","22,867.32","31,010.54","11,474.61","24,315.23","26,506.10","24,858.68","21,555.18","22,212.45","23,336.37","19,674.78","274,065.73"
,,,,,,,,,,,,,
    Total Income,"38,971.94","40,495.62","38,063.65","41,981.46","39,225.00","42,262.65","39,640.77","40,068.62","40,333.46","39,000.29","41,233.29","38,206.05","479,482.80"
    Total Expense,"17,937.05","15,276.04","15,196.33","10,970.92","27,750.39","17,947.42","13,134.67","15,209.94","18,778.28","16,787.84","17,896.92","18,531.27","205,417.07"
,,,,,,,,,,,,,
    Net Income,"21,034.89","25,219.58","22,867.32","31,010.54","11,474.61","24,315.23","26,506.10","24,858.68","21,555.18","22,212.45","23,336.37","19,674.78","274,065.73"
,,,,,,,,,,,,,
    Other Items,,,,,,,,,,,,,
        Security Deposit Cash,"2,700.00",0.00,"-1,000.00",0.00,0.00,0.00,"-1,250.00","1,000.00",0.00,"-1,000.00","-1,000.00","3,350.00","2,800.00"
        Prepaid Revenue,"4,796.77","-2,007.00","1,405.00","1,617.00","-2,367.00","3,457.00","3,885.00","-1,569.50","-2,517.50",934.85,"-2,407.55","3,017.91","8,244.98"
        Refundable Security Deposits,"-2,700.00",0.00,"1,000.00",0.00,0.00,0.00,"1,250.00","-1,000.00",0.00,"1,000.00","1,000.00","-3,350.00","-2,800.00"
        Accrued Property Taxes (Real & Personal),"4,000.00","4,000.00","4,000.00","-26,822.92","17,288.18","4,000.00","4,000.00","-26,822.92","4,000.00","4,000.00","4,000.00","4,000.00",-357.66
        Accrued Other Expenses,905.00,905.00,905.00,905.00,"-1,041.40",905.00,"-23,576.00",905.00,905.00,905.00,905.00,905.00,"-15,567.40"
        Owner Withdrawals,"-20,000.00","-50,000.00","-20,000.00","-20,000.00","-20,000.00","-20,000.00","-20,000.00","-20,000.00","-20,000.00","-20,000.00","-20,000.00","-20,000.00","-270,000.00"
    Net Other Items,"-10,298.23","-47,102.00","-13,690.00","-44,300.92","-6,120.22","-11,638.00","-35,691.00","-47,487.42","-17,612.50","-14,160.15","-17,502.55","-12,077.09","-277,680.08"
,,,,,,,,,,,,,
Cash Flow,"10,736.66","-21,882.42","9,177.32","-13,290.38","5,354.39","12,677.23","-9,184.90","-22,628.74","3,942.68","8,052.30","5,833.82","7,597.69","-3,614.35"
,,,,,,,,,,,,,
Beginning Cash,"79,834.89","90,571.55","68,689.13","77,866.45","64,576.07","69,930.46","82,607.69","73,422.79","50,794.05","54,736.73","62,789.03","68,622.85","79,834.89"
Beginning Cash + Cash Flow,"90,571.55","68,689.13","77,866.45","64,576.07","69,930.46","82,607.69","73,422.79","50,794.05","54,736.73","62,789.03","68,622.85","76,220.54","76,220.54"
Actual Ending Cash,"90,571.55","68,689.13","77,866.45","64,576.07","69,930.46","82,607.69","73,422.79","50,794.05","54,736.73","62,789.03","68,622.85","76,220.54","76,220.54"
